fy,full_sample,sel_index,typen,enter_repay_borrowers,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_typen1,lst_typen2,lst_typen3,lst_typen4,tot_parplus_balance,f5_tot_parplus_balance,mn_parplus_loan,md_parplus_loan,pct75_par,pct90_par,alt_cdr2,alt_cdr3,alt_cdr5,fract,age_entry,cpi_adj
2011,,,1,59,,,,,,,,,567,0,9684,6772,11879,21473,0.143,0.209,,,43,0.965479
2012,,,1,47,,,,,,,,,538,0,11482,8230,13647,22114,0.079,,,,44,0.980216
2013,,,1,28,,,,,,,,,401,0,14223,9634,16615,28705,,,,,45,0.992323
2014,,,1,29,,,,,,,,,434,0,15220,9849,18730,30105,,,,,44,1
1985,,,2,3,,,,,,,,,8,4,2793,2593,2654,5112,0.026,0.086,0.147,0.502,,0.528431
1986,,,2,5,,,,,,,,,13,5,2748,2585,2643,4849,0.044,0.077,0.115,0.594,,0.536539
1987,,,2,7,,,,,,,,,21,11,3144,2866,3506,4929,0.095,0.117,0.168,0.522,,0.556903
1988,,,2,9,,,,,,,,,32,16,3358,3362,3513,5752,0.066,0.119,0.183,0.529,,0.580705
1989,,,2,12,,,,,,,,,45,20,3652,3390,3554,6742,0.057,0.112,0.165,0.573,,0.60299
1990,,,2,12,,,,,,,,,49,27,3990,3399,4831,6833,0.091,0.129,0.196,0.512,,0.631967
1991,,,2,15,,,,,,,,,61,33,4013,3421,5196,6793,0.101,0.156,0.212,0.51,,0.648323
1992,,,2,17,,,,,,,,,72,39,4214,3466,6036,6850,0.1,0.157,0.245,0.493,,0.665147
1993,,,2,17,,,,,,,,,82,46,4846,3924,6588,7879,0.102,0.157,0.217,0.48,,0.679709
1994,,,2,11,,,,,,,,,63,28,5749,4915,7513,10152,0.048,0.084,0.105,0.616,,0.694281
1995,,,2,13,,,,,,,,,78,38,6015,4908,7948,10946,0.062,0.101,0.13,0.581,,0.707602
1996,,,2,15,,,,,,,,,103,49,7072,5826,9202,13494,0.069,0.089,0.106,0.584,,0.724261
1997,,,2,15,,,,,,,,,108,52,7434,5288,9763,15126,0.038,0.041,0.072,0.58,,0.732323
1998,,,2,16,,,,,,,,,126,79,7994,6060,10107,16013,0.033,0.057,0.086,0.559,,0.738253
1999,,,2,20,,,,,,,,,163,85,8329,6340,10723,16618,0.054,0.081,0.115,0.577,42,0.753413
2000,,,2,22,,,,,,,,,220,119,10009,7563,13026,19764,0.032,0.051,0.072,0.55,45,0.77168
2001,,,2,25,,,,,,,,,267,154,10893,8655,13927,22325,0.04,0.053,0.077,0.542,44,0.779909
2002,,,2,27,,,,,,,,,301,187,11310,8890,15074,22349,0.02,0.04,0.066,0.492,45,0.796383
2003,,,2,26,,,,,,,,,341,220,12959,8879,16051,25356,0.03,0.052,0.088,0.442,45,0.811654
2004,,,2,30,,,,,,,,,419,309,14003,9771,18328,28212,0.05,0.073,0.114,0.365,45,0.834702
2005,,,2,31,,,,,,,,,510,379,16430,12277,22161,34034,0.058,0.093,0.131,0.364,45,0.858669
2006,,,2,30,,,,,,,,,560,417,18884,13647,26388,40298,0.048,0.08,0.126,0.368,46,0.876992
2007,,,2,28,,,,,,,,,585,470,20571,13868,27335,45155,0.056,0.088,0.131,0.317,45,0.906824
2008,,,2,31,,,,,,,,,596,507,19423,12307,25048,44322,0.062,0.129,0.194,0.289,43,0.910217
2009,,,2,32,,,,,,,,,664,555,20544,12571,25852,46597,0.082,0.116,0.163,0.263,45,0.929017
2010,,,2,40,,,,,,,,,731,0,18366,11752,23578,42724,0.085,0.137,,,44,0.941916
2011,,,2,50,,,,,,,,,955,0,19168,10731,24192,45504,0.123,0.172,,,44,0.965479
2012,,,2,42,,,,,,,,,1040,0,25058,15676,31580,59143,0.064,,,,44,0.980216
2013,,,2,24,,,,,,,,,788,0,32751,20362,42351,83236,,,,,44,0.992323
2014,,,2,29,,,,,,,,,956,0,32859,19999,43442,80173,,,,,44,1
